                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.81127,                0.41967,                0.97613,                 0.9996,                0.99531,                  0.995,                0.87069,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.80636,                0.41005,                0.98885,                0.99874,                0.99531,                  0.995,                0.86613,                      0,                    inf,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                0.79725,                0.41545,                 0.9734,                 0.9982,                0.98592,                0.99491,                 0.8755,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     80,                0.80077,                0.41862,                0.97914,                0.99068,                0.99768,                0.99439,                0.86963,                      0,                    inf,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                0.81975,                0.42358,                0.96927,                 0.9936,                      1,                0.99439,                0.87852,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.78296,                0.40688,                0.97185,                0.99695,                0.99531,                  0.995,                0.87464,                      0,                    inf,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.77645,                0.40519,                0.96895,                0.99629,                0.99531,                  0.995,                0.85987,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     84,                 0.7844,                0.40228,                0.97297,                 0.9945,                      1,                  0.995,                 0.8627,                      0,                    inf,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.77626,                0.40398,                0.96189,                0.99533,                0.99999,                  0.995,                0.87704,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.78721,                0.40952,                0.97678,                      1,                0.99819,                  0.995,                0.88671,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.78974,                0.40921,                0.96959,                0.98965,                      1,                0.99429,                0.86681,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.77864,                0.40464,                0.95992,                 0.9977,                0.99531,                  0.995,                 0.8824,                      0,                    inf,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.77414,                0.40227,                0.95849,                0.99432,                0.99531,                0.99491,                0.87146,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     90,                0.75448,                0.39107,                0.95592,                0.99439,                0.99531,                0.99495,                0.87866,                      0,                    inf,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                0.75018,                0.38634,                0.95748,                0.99516,                      1,                  0.995,                0.87657,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.75698,                0.38711,                  0.959,                0.99947,                0.99531,                  0.995,                0.87723,                      0,                    inf,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.78449,                0.39539,                0.96376,                0.99528,                0.98979,                0.99495,                0.87201,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.76603,                 0.3933,                0.95876,                0.99892,                0.98592,                0.99495,                0.86377,                      0,                    inf,                      0,              0.0053965,              0.0053965,              0.0053965
